Date,Item,Buyer Country,Seller Country,Sale Price,Purchase Price,Sale Currency,Purchase Currency,Product Description,Product Image,FX JPY to JPY,FX JPY to CNY,FX JPY to KRW,FX JPY to VND,FX JPY to THB,FX JPY to MYR,FX JPY to IDR,FX JPY to PHP,Sale Price in JPY,Purchase Price in JPY,Sale Price in CNY,Purchase Price in CNY,Sale Price in KRW,Purchase Price in KRW,Sale Price in VND,Purchase Price in VND,Sale Price in THB,Purchase Price in THB,Sale Price in MYR,Purchase Price in MYR,Sale Price in IDR,Purchase Price in IDR,Sale Price in PHP,Purchase Price in PHP
2023-09-29 05:36:58.122251,Acrylic Stands,Vietnam,China,800.0,697.2834381983828,CNY,VND,This is a sample product description.,image_path.jpg,1.0,0.04888205722926959,9.025559137422793,163.28839526103638,0.2448555985266094,0.031512616928665214,103.61798762638003,0.37926299817614273,800.0,697.2834381983828,39.105645783415675,34.08464893103521,7220.447309938234,6293.372907004995,130630.71620882911,113858.29366551197,195.88447882128753,170.73375360275708,25.21009354293217,21.973225878648243,82894.39010110403,72251.10667131975,303.4103985409142,264.4538073496878
2023-09-29 05:36:58.122251,Acrylic Stands,Japan,South Korea,800.0,744.8335608992328,KRW,JPY,This is a sample product description.,image_path.jpg,1.0,0.04888205722926959,9.025559137422793,163.28839526103638,0.2448555985266094,0.031512616928665214,103.61798762638003,0.37926299817614273,800.0,744.8335608992328,39.105645783415675,36.40899675015695,7220.447309938234,6722.539351433226,130630.71620882911,121622.67689579914,195.88447882128753,182.37666735668742,25.21009354293217,23.471654680231158,82894.39010110403,77178.15469696927,303.4103985409142,282.4878094488556
2023-09-30 05:36:58.122251,Acrylic Stands,Indonesia,Indonesia,800.0,739.7341410635505,IDR,IDR,This is a sample product description.,image_path.jpg,1.0,0.04888205722926959,9.025559137422793,163.28839526103638,0.2448555985266094,0.031512616928665214,103.61798762638003,0.37926299817614273,800.0,739.7341410635505,39.105645783415675,36.15972661791306,7220.447309938234,6676.514236139729,130630.71620882911,120790.00081406828,195.88447882128753,181.12804586068296,25.21009354293217,23.310958616390863,82894.39010110403,76649.76307553383,303.4103985409142,280.55378819301586
2023-10-01 05:36:58.122251,Acrylic Stands,Vietnam,China,815.246431021201,765.4527360843853,CNY,VND,This is a sample product description.,image_path.jpg,1.0,0.04888205722926959,9.025559137422793,163.28839526103638,0.2448555985266094,0.031512616928665214,103.61798762638003,0.37926299817614273,815.246431021201,765.4527360843853,39.850922697136134,37.41690445157791,7358.054874754722,6908.638936431701,133120.2814637391,124989.54892338887,199.61765281437837,187.42538783777294,25.690548483232597,24.121418849225904,84474.19460200529,79314.67213617057,309.19280568150066,290.30789964949565
2023-10-01 05:36:58.122251,Acrylic Stands,Malaysia,Malaysia,800.0,688.7862512909675,MYR,MYR,This is a sample product description.,image_path.jpg,1.0,0.04888205722926959,9.025559137422793,163.28839526103638,0.2448555985266094,0.031512616928665214,103.61798762638003,0.37926299817614273,800.0,688.7862512909675,39.105645783415675,33.66928895433914,7220.447309938234,6216.681044070383,130630.71620882911,112470.80165116703,195.88447882128753,168.65316981674943,25.21009354293217,21.705457282663595,82894.39010110403,71370.64526348816,303.4103985409142,261.2311387671184
2023-10-03 05:36:58.122251,Acrylic Stands,Thailand,China,872.3226737141079,750.2053968612681,CNY,THB,This is a sample product description.,image_path.jpg,1.0,0.04791359596400844,9.036909731397206,162.4280140744463,0.2470720834243407,0.031461251614585004,103.54285400078508,0.37880294909646883,872.3226737141079,750.2053968612681,41.796116138581326,35.94503827522941,7883.101259005451,6779.538451442297,141689.63952349374,121854.37276010764,215.52658041283598,185.35481039869785,27.44436312682708,23.602400753271954,90322.77924595436,77678.40787780732,330.4384013666208,284.1800167591351
2023-10-03 05:36:58.122251,Acrylic Stands,Vietnam,Malaysia,854.3263667375062,686.0231928099895,MYR,VND,This is a sample product description.,image_path.jpg,1.0,0.04791359596400844,9.036909731397206,162.4280140744463,0.2470720834243407,0.031461251614585004,103.54285400078508,0.37880294909646883,854.3263667375062,686.0231928099895,40.93384835726017,32.869838082236896,7720.470257359388,6199.529667068776,138766.53512061024,111429.38481713757,211.08019535418302,169.4971795249823,26.878176784902905,21.583148282436042,88459.39026012277,71032.79929427718,323.6213472110387,259.86760858499946
2023-10-03 05:36:58.122251,Acrylic Stands,China,Philippines,800.0,657.9967103878364,PHP,CNY,This is a sample product description.,image_path.jpg,1.0,0.04791359596400844,9.036909731397206,162.4280140744463,0.2470720834243407,0.031461251614585004,103.54285400078508,0.37880294909646883,800.0,657.9967103878364,38.33087677120675,31.52698852716947,7229.527785117764,5946.256875331187,129942.41125955705,106877.09893581487,197.65766673947255,162.57261812188526,25.169001291668003,20.70140006708094,82834.28320062807,68130.8573166846,303.0423592771751,249.25109439068754
2023-10-05 05:36:58.122251,Acrylic Stands,Philippines,Thailand,800.0,748.2273133180596,THB,PHP,This is a sample product description.,image_path.jpg,1.0,0.048335190925893376,9.070257664016154,163.9300205395346,0.24781493440910837,0.031745498859119606,104.66146397345963,0.3800128879126498,800.0,748.2273133180596,38.6681527407147,36.165710045196654,7256.206131212923,6786.614523049346,131144.01643162768,122656.9188404703,198.2519475272867,185.42190257301831,25.396399087295684,23.752849321300587,83729.1711787677,78310.56599679659,304.01031033011986,284.3360221491189
2023-10-06 05:36:58.122251,Acrylic Stands,Philippines,China,1044.4446945054842,973.211558327952,CNY,PHP,This is a sample product description.,image_path.jpg,1.0,0.04848144081644693,9.066636682781978,164.21600278159457,0.24878253848460036,0.03182611146358392,105.28549382605023,0.381448586493829,1044.4446945054842,973.211558327952,50.63618364271963,47.1826985669587,9469.600580340439,8823.755614843622,171514.53285813428,159816.91196946296,259.8396024058473,242.11804196338161,33.240613264880395,30.973539532993605,109964.87543500807,102465.05951577831,398.401952390096,371.2301732836539
